Name, 1001,Bus Type, Medium,Speed, 1,Distance to next stop, 999,	Passengers (0), ,Total Num of Passengers, 16,
Name, 1004,Bus Type, Medium,Speed, 1,Distance to next stop, 999,	Passengers (0), ,Total Num of Passengers, 14,
Name, 1002,Bus Type, Large,Speed, 1,Distance to next stop, 999,	Passengers (0), ,Total Num of Passengers, 11,
Name, 1000,Bus Type, Small,Speed, 1,Distance to next stop, 999,	Passengers (0), ,Total Num of Passengers, 25,
Name, 1007,Bus Type, Medium,Speed, 1,Distance to next stop, 999,	Passengers (0), ,Total Num of Passengers, 23,
Name, 1005,Bus Type, Large,Speed, 1,Distance to next stop, 999,	Passengers (0), ,Total Num of Passengers, 12,
